Bentley Splice Report
Device Type: Splice  Model: Needs Verify Mid-Sheath  Name: SPI-215&I-80   ID: 654013009
Report Date: Fri Jun  5 08:37:51 2026

Location: 40.764258 -111.946988
Street:    City/St:    Pole #: 
Desc:    Splice#: SPI-215&I-80


Terminating,,,Number/,Name/,,,,Number/,Name/,Terminating
Device,From,,Buffer,Color,,To,,Buffer,Color,Device,OS
Left ---

HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  23,OR,RO,<->,288-SMF I-215 DIST: 500 S - I-80, ,OR,GR, ,CH 2306
HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  24,OR,AQ,<->,288-SMF I-215 DIST: 500 S - I-80, ,OR,BR, ,CH 2306
SP-5600WI-80,288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  25,GR,BL,<->,288-SMF I-215 DIST: 500 S - I-80, ,OR,SL, ,
SP-5600WI-80,288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  26,GR,OR,<->,288-SMF I-215 DIST: 500 S - I-80, ,OR,WH, ,
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  27,GR,GR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,OR,GR, ,CH 2402
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  28,GR,BR,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,OR,BR, ,CH 2402
HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  31,GR,RD,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,RD, ,CH 2004
HUB2-4(200S&1200W),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  32,GR,BK,<->,288-SMF I-215 DIST: 500 S - I-80, ,BR,BK, ,CH 2004
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  35,GR,RO,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BR,YL, ,CH 2004
HUB2-6(CALIFORNIA_AVE),288-SMF I-215 DIST: SR-201 - N TEMPLE NB,  36,GR,AQ,<->,48-SMF I-80 DIST: I-215 - REDWOOD RD, ,BR,VI, ,CH 2004
